Size	IS_random	IS_best	Is_worst	QS Random	QS Worst	Bubble	SelSort	HeapSort
2^2	0.000001	0.000000	0.000000	0.000006	0.000004	0.000000	0.000000	0.000004
2^3	0.000000	0.000004	0.000001	0.000014	0.000014	0.000000	0.000000	0.000001
2^4	0.000001	0.000000	0.000003	0.000024	0.000024	0.000001	0.000001	0.000003
2^5	0.000006	0.000000	0.000010	0.000054	0.000055	0.000007	0.000002	0.000006
2^6	0.000021	0.000000	0.000041	0.000106	0.000143	0.000027	0.000007	0.000014
2^7	0.000082	0.000000	0.000164	0.000224	0.000227	0.000109	0.000022	0.000032
2^8	0.000326	0.000001	0.000675	0.000453	0.000458	0.000450	0.000077	0.000070
2^9	0.001338	0.000001	0.002613	0.001039	0.000934	0.002059	0.000304	0.000173
2^10	0.005224	0.000003	0.010881	0.002012	0.001934	0.009193	0.001201	0.000356
2^11	0.021544	0.000006	0.042061	0.004036	0.003931	0.038605	0.004628	0.000782
2^12	0.085286	0.000011	0.169044	0.008053	0.007732	0.164239	0.018789	0.001768
2^13	0.384170	0.000023	0.690683	0.016147	0.015922	0.663509	0.072981	0.003726
